step,amount,newbalanceOrig,newbalanceDest,isFraud,type_CASH_OUT,type_TRANSFER
163,532078.55,0.0,1532570.0,0,0,1
402,274951.3,0.0,274951.3,0,1,0
166,192229.8,0.0,192229.8,0,1,0
205,248524.09,0.0,248524.09,0,1,0
617,342164.05,0.0,656335.57,0,0,1
35,88432.89,0.0,187821.89,0,1,0
155,42011.41,0.0,8258924.59,0,1,0
15,20937.83,0.0,74148.43,0,1,0
135,36255.78,0.0,0.0,0,1,0
348,457405.27,0.0,457405.27,0,1,0
205,127557.16,0.0,7414719.64,0,1,0
227,219313.1,0.0,1509140.48,0,1,0
284,147310.1,0.0,2033865.23,0,1,0
208,11398.65,0.0,46698.24,0,1,0
379,159697.07,0.0,3752639.75,0,1,0
306,66188.54,0.0,7638926.74,0,1,0
305,47936.55,0.0,264945.27,0,1,0
403,22236.09,256527.69,325465.98,0,1,0
324,187299.22,0.0,3377530.28,0,1,0
256,27958.99,0.0,632590.34,0,1,0
353,120423.11,0.0,1119111.87,0,1,0
38,15964.1,0.0,1662603.02,0,1,0
333,211003.33,0.0,921518.52,0,1,0
283,419849.08,0.0,419849.08,0,0,1
304,1246954.78,0.0,10569271.26,0,0,1
354,43471.95,102880.05,43471.95,0,1,0
594,88856.4,0.0,1732473.62,0,1,0
307,9919.77,0.0,407381.42,0,1,0
592,123444.92,0.0,2301232.99,0,1,0
210,66776.44,0.0,1293405.12,0,1,0
16,387811.73,0.0,4498642.09,0,1,0
186,29220.91,21561.09,159323.07,0,1,0
306,141354.03,0.0,3356570.13,0,1,0
406,98809.39,0.0,525939.46,0,1,0
310,399794.53,0.0,3441359.96,0,1,0
10,407247.78,0.0,602658.91,0,1,0
300,102888.08,0.0,682202.55,0,0,1
330,4768.31,0.0,191553.66,0,1,0
34,144823.28,0.0,144823.28,0,1,0
573,179885.12,0.0,449369.62,0,1,0
163,10463.99,20179.01,520682.33,0,1,0
565,800614.85,0.0,7530523.01,0,0,1
283,373637.63,0.0,1042086.44,0,0,1
376,97584.45,0.0,1521670.96,0,1,0
398,189237.16,0.0,1123410.86,0,1,0
282,13036.75,38594.25,2184929.91,0,1,0
687,44616.54,0.0,312776.0,0,1,0
138,64768.71,49045.29,4154978.6,0,1,0
398,204278.56,0.0,14333219.35,0,1,0
204,231191.62,0.0,1466402.54,0,1,0
231,178988.55,0.0,331768.2,0,1,0
161,356050.76,0.0,356050.76,0,1,0
228,62736.58,0.0,277894.37,0,0,1
42,99939.33,0.0,397359.78,0,1,0
408,567787.38,0.0,2303321.84,0,0,1
38,232868.03,0.0,3018081.65,0,1,0
378,21275.35,85527.65,41314.48,0,1,0
332,22601.11,0.0,408027.72,0,1,0
154,287990.01,0.0,4913080.19,0,1,0
10,96128.92,0.0,2089105.73,0,1,0
330,8588.26,508666.74,108657.38,0,1,0
308,48354.51,3531.49,48354.51,0,1,0
157,103980.78,0.0,134933.09,0,0,1
234,768507.55,0.0,768507.55,0,0,1
402,106157.93,0.0,1408431.72,0,1,0
354,522659.07,0.0,1986592.93,0,0,1
251,264152.51,0.0,601722.54,0,1,0
378,98571.55,0.0,98571.55,0,1,0
278,124167.71,0.0,3581146.81,0,1,0
33,204550.21,0.0,315560.43,0,1,0
182,32586.79,0.0,5280506.37,0,1,0
396,271720.47,0.0,1686695.96,0,1,0
205,794804.33,0.0,1776736.56,0,0,1
36,20994.87,0.0,406195.03,0,1,0
20,27695.8,3219.2,27695.8,0,1,0
522,464172.84,0.0,1242356.01,0,1,0
335,447591.54,0.0,1604750.12,0,1,0
686,66103.83,0.0,94450.91,0,1,0
380,102703.61,0.0,548239.43,0,1,0
326,229387.59,0.0,229387.59,0,1,0
305,157573.66,92871.34,1269161.33,0,1,0
186,265429.68,0.0,2342769.89,0,1,0
188,106563.23,0.0,290046.92,0,1,0
335,249481.06,0.0,536784.68,0,1,0
347,182340.1,0.0,985750.23,0,1,0
36,91399.57,0.0,1225121.59,0,1,0
378,56347.11,0.0,380817.12,0,1,0
328,198741.87,0.0,2448542.06,0,1,0
394,486178.83,0.0,834393.85,0,1,0
348,297026.07,0.0,533867.16,0,1,0
17,143360.82,0.0,439711.55,0,1,0
181,297204.64,0.0,3620520.19,0,1,0
250,177361.75,0.0,370749.04,0,1,0
8,74803.13,0.0,493579.15,0,1,0
234,186119.39,0.0,186119.39,0,1,0
137,377076.6,0.0,2098336.42,0,1,0
257,241011.93,0.0,517401.74,0,1,0
298,76123.7,488227.14,1136894.64,0,1,0
205,310458.08,0.0,2005744.2,0,0,1
573,25996.64,0.0,737511.85,0,1,0
297,32039.47,0.0,152919.45,0,1,0
642,303456.92,0.0,1559832.17,0,1,0
256,167901.18,637250.82,167901.18,0,1,0
330,578308.36,0.0,825408.07,0,0,1
303,153774.67,0.0,489420.13,0,1,0
321,82073.25,0.0,4359816.7,0,1,0
189,526123.97,0.0,1184634.34,0,0,1
335,201478.75,0.0,1661860.79,0,0,1
596,81461.72,0.0,247678.62,0,1,0
273,109547.55,0.0,109547.55,0,1,0
20,510640.42,0.0,2514213.6,0,1,0
299,69511.63,0.0,337763.8,0,1,0
407,80110.19,0.0,505376.57,0,1,0
298,178996.83,0.0,178996.83,0,1,0
19,15555.38,0.0,241170.17,0,1,0
210,211883.73,0.0,669520.06,0,0,1
324,46357.39,0.0,355409.24,0,1,0
185,298627.79,0.0,27352127.8,0,1,0
14,60088.26,0.0,37801.41,0,1,0
322,39304.0,0.0,12999385.59,0,1,0
350,246672.24,0.0,353377.1,0,1,0
250,163816.76,0.0,163816.76,0,1,0
355,144606.55,0.0,4436475.67,0,1,0
524,90226.27,0.0,210301.08,0,1,0
131,246214.88,0.0,4812410.9,0,1,0
353,635627.06,0.0,777427.71,0,0,1
155,182654.96,110579.04,182654.96,0,1,0
231,6933.24,0.0,16747.81,0,1,0
503,147108.79,0.0,259482.74,0,1,0
331,50229.52,0.0,251501.92,0,0,1
324,374760.26,0.0,3836089.21,0,1,0
202,357579.36,138848.64,2621145.1,0,1,0
12,57251.31,0.0,3312303.42,0,1,0
202,48410.92,0.0,240274.17,0,1,0
133,96772.17,0.0,107301.15,0,1,0
13,155163.03,0.0,13108417.97,0,1,0
276,182798.8,0.0,693961.99,0,1,0
692,367012.22,0.0,1505930.15,0,1,0
426,866243.19,0.0,4655229.28,0,0,1
393,221798.58,0.0,221798.58,0,1,0
225,442513.47,0.0,5254854.19,0,1,0
251,36788.32,67559.68,15454.35,0,1,0
252,102708.78,185930.87,1584970.35,0,1,0
588,23970.5,275830.5,457995.2,0,1,0
19,68180.76,158791.36,0.0,0,1,0
135,146622.06,355784.94,146622.06,0,1,0
377,126941.25,0.0,328595.15,0,1,0
329,274656.18,0.0,2841539.54,0,0,1
235,197265.1,0.0,2073940.05,0,1,0
134,269254.78,0.0,637105.21,0,0,1
596,297195.79,0.0,719292.31,0,1,0
20,2505263.01,0.0,20854226.45,0,0,1
351,325214.08,0.0,325214.08,0,1,0
187,38421.33,0.0,349702.12,0,1,0
686,125056.44,0.0,285483.19,0,1,0
188,46811.79,0.0,288941.91,0,1,0
188,29080.6,0.0,623501.5,0,1,0
158,236352.45,0.0,966162.99,0,1,0
284,109690.83,36747.53,1182695.94,0,1,0
36,262331.34,0.0,772725.2,0,1,0
301,358273.2,0.0,601410.21,0,1,0
260,142516.15,0.0,1973124.0,0,1,0
159,198409.21,99461.79,1289885.95,0,1,0
11,426306.2,0.0,586384.38,0,0,1
379,82709.48,15754.52,234260.73,0,1,0
396,991824.15,0.0,1363248.05,0,0,1
133,225844.22,0.0,251901.15,0,1,0
405,123963.83,0.0,284387.95,0,1,0
306,284557.83,0.0,599357.56,0,1,0
354,427989.56,0.0,975749.19,0,1,0
251,309691.12,0.0,844791.11,0,1,0
275,17376.34,0.0,125752.56,0,1,0
14,1103574.94,0.0,3602642.02,0,0,1
164,63405.71,0.0,734070.99,0,1,0
19,210846.27,0.0,13360123.35,0,1,0
140,84401.79,0.0,323936.66,0,1,0
207,8801.97,244.03,164140.45,0,0,1
21,84541.95,667.51,258027.28,0,1,0
281,140262.89,0.0,348160.68,0,1,0
710,33091.87,10094.13,177075.9,0,1,0
204,270459.34,0.0,319613.26,0,0,1
351,236926.3,321718.01,560830.84,0,1,0
235,113875.92,0.0,152136.16,0,1,0
137,403158.58,0.0,457577.92,0,1,0
137,203228.69,0.0,495437.94,0,1,0
134,185941.76,0.0,787316.48,0,1,0
12,179537.31,0.0,1202513.25,0,1,0
181,155118.52,0.0,155118.52,0,1,0
17,370580.63,59155.37,370580.63,0,1,0
131,171114.03,0.0,494250.44,0,1,0
345,30369.99,0.0,292489.32,0,1,0
153,388220.79,0.0,3777286.45,0,0,1
135,342689.1,0.0,342689.1,0,1,0
201,625938.02,0.0,731200.9,0,0,1
235,143778.45,0.0,459924.91,0,1,0
227,337404.53,0.0,696799.97,0,1,0
229,177233.99,0.0,1023322.26,0,1,0
209,206905.99,0.0,1360526.18,0,1,0
14,16231.95,0.0,1686901.2,0,1,0
207,12138.16,0.0,284446.57,0,0,1
138,193050.5,0.0,666282.14,0,1,0
304,85428.12,204991.34,1362620.75,0,1,0
154,2271467.82,0.0,2392297.98,0,0,1
212,679403.02,0.0,2080046.86,0,0,1
373,280582.43,0.0,2812191.01,0,0,1
298,434114.27,0.0,1148744.82,0,1,0
235,4181435.25,0.0,6034078.89,0,0,1
129,296895.97,0.0,3774508.02,0,1,0
156,25652.9,0.0,1053163.31,0,1,0
252,206113.66,0.0,414265.56,0,1,0
250,277335.28,0.0,2581329.51,0,1,0
518,123662.2,0.0,842743.42,0,1,0
331,302401.95,0.0,1226144.4,0,1,0
396,2583492.06,0.0,5692370.32,0,0,1
41,194012.57,0.0,2511907.93,0,1,0
19,11441.35,55628.65,1937186.91,0,0,1
230,266868.57,97612.43,580823.17,0,1,0
307,102281.11,0.0,499250.99,0,1,0
205,77700.8,0.0,173584.4,0,1,0
237,162901.41,0.0,162901.41,0,1,0
13,56777.16,22464.84,557272.83,0,1,0
400,188000.58,0.0,2028252.14,0,1,0
137,20878.57,0.0,520446.55,0,0,1
404,27493.84,6676.16,164569.8,0,1,0
348,451852.01,0.0,451852.01,0,1,0
399,243549.28,0.0,1144528.12,0,1,0
301,428905.1,0.0,428905.1,0,0,1
307,80847.1,0.0,2104209.46,0,1,0
15,200518.23,0.0,1872851.34,0,0,1
565,408503.77,0.0,929671.08,0,1,0
323,93893.63,0.0,1305104.89,0,1,0
226,1080477.45,0.0,2483385.87,0,0,1
298,28348.08,0.0,134097.72,0,0,1
33,456511.96,0.0,1777658.86,0,0,1
323,137078.71,225640.29,1068056.4,0,1,0
234,100236.91,0.0,534700.79,0,1,0
9,18036.49,34277.51,0.0,0,1,0
201,183758.33,0.0,183758.33,0,1,0
330,412565.42,0.0,1918476.38,0,1,0
133,337478.37,0.0,1278129.73,0,1,0
20,126129.66,0.0,2957385.59,0,1,0
307,269562.68,0.0,748933.1,0,1,0
231,276590.31,0.0,603003.3,0,1,0
307,274730.72,0.0,306508.79,0,1,0
236,62514.18,0.0,2273223.59,0,1,0
139,76831.15,171382.85,680475.05,0,0,1
571,266298.09,0.0,3583540.59,0,1,0
398,221068.35,0.0,703069.46,0,0,1
251,441257.62,0.0,1161697.64,0,1,0
403,141319.47,0.0,11398060.42,0,0,1
326,372253.27,0.0,1318002.47,0,1,0
39,86601.68,0.0,829775.12,0,1,0
213,230654.01,0.0,279896.16,0,1,0
179,488112.47,0.0,990731.25,0,1,0
37,178760.75,0.0,573378.77,0,1,0
375,155166.23,0.0,442828.09,0,1,0
308,212738.14,0.0,1377766.98,0,1,0
43,75296.35,83648.65,1204569.94,0,1,0
280,177931.22,0.0,262024.86,0,1,0
133,422056.53,0.0,5578421.81,0,1,0
38,789784.13,0.0,844073.73,0,0,1
324,365172.28,0.0,1848781.44,0,1,0
308,364174.57,0.0,814440.66,0,1,0
163,138664.82,0.0,546266.13,0,1,0
416,181331.24,136849.76,10129481.66,0,1,0
321,417392.11,0.0,2046854.47,0,1,0
35,75363.09,0.0,2875862.85,0,1,0
187,25425.5,16383.23,12328373.26,0,1,0
352,1377272.64,0.0,1377272.64,0,0,1
184,201065.64,0.0,543257.31,0,1,0
18,111080.17,0.0,501377.24,0,1,0
307,259696.97,0.0,1061853.47,0,1,0
347,120391.71,0.0,1185997.91,0,1,0
185,311366.68,0.0,311366.68,0,1,0
260,307331.91,0.0,2672505.03,0,0,1
304,398152.44,0.0,913147.27,0,1,0
585,479026.89,0.0,487746.13,0,0,1
36,65349.07,431848.72,783335.43,0,1,0
373,15385.22,16704.78,1507460.78,0,1,0
8,158007.12,0.0,1618631.97,0,1,0
397,353082.34,0.0,4020983.94,0,1,0
375,264507.56,0.0,1275058.32,0,1,0
15,367013.29,280669.71,648184.02,0,1,0
374,39377.77,0.0,234921.47,0,1,0
260,94009.89,0.0,94009.89,0,1,0
205,911265.6,0.0,8048570.64,0,0,1
227,60033.88,0.0,801281.14,0,1,0
236,500898.42,0.0,630088.82,0,0,1
284,498246.76,0.0,573472.06,0,0,1
306,444234.71,0.0,592568.25,0,1,0
208,31765.81,0.0,749388.81,0,1,0
684,138182.7,0.0,4375129.45,0,0,1
227,242118.08,0.0,3219862.82,0,0,1
9,234488.95,0.0,554897.58,0,1,0
299,81417.99,0.0,276853.27,0,1,0
16,194952.38,0.0,415232.62,0,1,0
261,21978.29,0.0,21978.29,0,1,0
228,392165.18,0.0,1212211.68,0,1,0
37,399356.91,0.0,1384675.27,0,0,1
281,102140.64,0.0,333599.65,0,1,0
17,72743.12,0.0,1467366.46,0,1,0
229,207028.13,0.0,1211992.49,0,1,0
372,193652.43,0.0,418125.67,0,1,0
381,309676.28,0.0,15569207.88,0,1,0
230,175011.27,0.0,179140.7,0,1,0
133,507652.84,0.0,744166.19,0,1,0
350,70030.09,0.0,4371530.96,0,1,0
592,182590.65,0.0,218461.61,0,1,0
211,43521.2,0.0,420808.51,0,1,0
323,15591.0,0.0,6785819.87,0,1,0
155,307650.12,0.0,1231051.1,0,1,0
396,133063.4,0.0,1820602.95,0,1,0
225,5383.18,0.0,86674.34,0,1,0
228,122450.49,0.0,1686478.55,0,1,0
210,100604.74,0.0,2284044.35,0,1,0
45,247173.31,15156.56,541021.27,0,1,0
275,36417.01,0.0,188891.95,0,0,1
19,385736.84,0.0,836249.86,0,1,0
164,84325.27,34715.73,401666.95,0,1,0
373,186822.87,0.0,633279.16,0,1,0
159,13073.0,9408.0,6321788.32,0,1,0
202,560278.6,0.0,2854019.32,0,0,1
158,151619.13,0.0,5954954.45,0,1,0
12,161778.67,0.0,802571.57,0,1,0
131,160072.58,0.0,2925388.69,0,1,0
302,320738.04,0.0,1898022.11,0,1,0
235,116776.76,0.0,176894.85,0,1,0
260,27829.89,0.0,108293.59,0,1,0
154,1395194.18,0.0,1818900.82,0,0,1
395,60241.24,30188.76,107184.9,0,1,0
209,162579.64,0.0,252389.56,0,1,0
399,33672.59,0.0,3549424.53,0,1,0
137,242041.75,0.0,3395035.61,0,0,1
329,145272.57,0.0,443631.09,0,1,0
346,123631.18,0.0,1038092.51,0,1,0
236,209750.0,0.0,1776923.36,0,0,1
210,89379.76,0.0,986243.38,0,1,0
348,46738.43,0.0,5017506.82,0,1,0
22,133805.91,0.0,1390921.35,0,1,0
371,167108.09,0.0,593652.43,0,1,0
403,42601.22,0.0,602727.63,0,1,0
42,284814.24,0.0,598912.19,0,1,0
159,156560.09,0.0,467090.81,0,1,0
406,283329.07,0.0,1138580.01,0,1,0
229,342631.9,0.0,933309.43,0,1,0
347,92548.17,0.0,291426.9,0,1,0
135,181118.76,0.0,688655.22,0,0,1
133,293439.86,0.0,293439.86,0,1,0
331,227050.49,0.0,651196.24,0,1,0
187,227100.68,0.0,1651598.64,0,1,0
136,336511.3,0.0,1075711.96,0,1,0
373,265343.6,0.0,678202.75,0,1,0
183,275436.94,0.0,355094.21,0,1,0
20,214502.77,0.0,494636.18,0,1,0
43,48689.48,0.0,716537.66,0,1,0
297,409834.37,0.0,3436855.81,0,1,0
15,338408.6,0.0,5210905.4,0,1,0
514,125249.41,0.0,432323.68,0,1,0
186,173776.18,0.0,278757.14,0,1,0
8,621924.08,0.0,621924.08,0,0,1
356,310585.49,0.0,739983.83,0,1,0
402,92040.71,0.0,187656.82,0,1,0
277,217036.08,0.0,504430.27,0,1,0
403,78905.4,0.0,344342.81,0,1,0
130,240014.94,0.0,748415.99,0,1,0
36,41326.03,0.0,906709.09,0,1,0
321,105576.66,0.0,2646549.98,0,1,0
307,41352.13,0.0,690101.83,0,1,0
329,186791.27,0.0,186791.27,0,1,0
286,20897.79,0.0,1875335.33,0,1,0
18,37188.18,0.0,37188.18,0,1,0
356,68675.37,0.0,387716.08,0,1,0
260,61709.95,0.0,61709.95,0,1,0
451,66948.29,0.0,1754380.79,0,1,0
308,346418.85,0.0,346418.85,0,1,0
207,113837.24,0.0,342699.33,0,1,0
180,148636.26,0.0,148636.26,0,1,0
469,47790.36,0.0,3196152.53,0,1,0
280,104113.83,0.0,7495983.46,0,1,0
181,415378.31,0.0,1779834.18,0,1,0
41,58890.68,0.0,58890.68,0,1,0
134,151092.18,0.0,151092.18,0,1,0
8,278222.95,0.0,292023.1,0,1,0
379,972297.77,0.0,4429670.84,0,0,1
306,224449.54,0.0,281335.94,0,1,0
400,9779.47,0.0,1475744.91,0,1,0
448,45067.19,0.0,57043.86,0,1,0
371,1982076.14,0.0,26771535.9,0,0,1
12,446111.5,0.0,564585.85,0,1,0
185,1453418.72,0.0,2404205.62,0,0,1
350,192177.79,0.0,1786871.1,0,1,0
160,133759.23,189962.43,4389340.25,0,1,0
206,11176.59,39473.41,11176.59,0,1,0
10,375263.98,0.0,1222852.9,0,1,0
253,104676.92,279730.08,1299335.07,0,0,1
44,285837.72,0.0,1524345.9,0,1,0
377,48922.74,0.0,118101.8,0,1,0
279,5586.06,14585.94,1230683.12,0,1,0
353,2455901.59,0.0,4951831.57,0,0,1
474,292397.43,0.0,292397.43,0,0,1
141,173903.25,0.0,3334009.69,0,1,0
402,69138.07,0.0,69138.07,0,0,1
207,74827.56,0.0,652042.12,0,1,0
8,217470.69,1364774.55,1434633.69,0,1,0
347,130061.61,0.0,1089317.54,0,1,0
329,220862.9,0.0,3760964.28,0,1,0
281,146205.67,0.0,146205.67,0,1,0
18,109473.79,0.0,113766.79,0,1,0
8,408429.47,0.0,580053.83,0,1,0
405,141856.89,0.0,636407.11,0,1,0
252,243428.31,0.0,337653.16,0,1,0
379,245246.43,0.0,656946.41,0,1,0
321,223060.74,0.0,316135.84,0,1,0
16,99292.37,0.0,936876.73,0,1,0
42,436577.65,0.0,436577.65,0,0,1
253,1988910.56,0.0,5671627.8,0,0,1
333,181246.74,0.0,499522.89,0,0,1
15,1849.79,0.0,1849.79,0,1,0
324,186452.08,151590.92,186452.08,0,1,0
18,18362.49,0.0,266294.72,0,1,0
661,170355.23,0.0,2662694.22,0,1,0
21,132029.69,0.0,1480326.21,0,1,0
372,168946.97,0.0,947302.24,0,1,0
187,188021.25,0.0,682955.88,0,1,0
46,48805.42,0.0,383481.84,0,0,1
283,2588.79,0.0,5563638.89,0,1,0
286,93335.16,0.0,527773.98,0,1,0
346,380455.54,0.0,1022116.44,0,1,0
328,193698.98,0.0,226226.1,0,1,0
260,126655.17,0.0,126896.05,0,1,0
232,65475.09,0.0,3322393.74,0,1,0
370,203478.16,0.0,203478.16,0,1,0
400,73066.38,0.0,239117.61,0,1,0
34,1283671.48,0.0,5886825.18,0,0,1
353,56949.26,0.0,0.0,0,1,0
369,358872.26,0.0,2874877.39,0,1,0
397,328279.41,0.0,1353102.64,0,1,0
305,1988246.67,0.0,7967845.31,0,0,1
208,292890.76,0.0,438085.18,0,1,0
250,47899.24,0.0,634787.07,0,1,0
43,438915.77,0.0,438915.77,0,1,0
301,147530.87,0.0,535484.29,0,1,0
352,17223.39,19875.61,10969961.98,0,1,0
380,181105.56,0.0,430596.17,0,1,0
37,109254.71,89455.29,109254.71,0,1,0
130,80960.37,0.0,2232645.76,0,1,0
401,142551.82,196177.87,567505.02,0,1,0
374,137940.54,0.0,1039524.8,0,0,1
302,1925509.03,0.0,1925509.03,0,0,1
332,13409.18,0.0,2533336.71,0,1,0
351,45303.42,0.0,571439.4,0,1,0
213,43340.72,0.0,43340.72,0,1,0
257,173643.85,99131.15,229055.02,0,1,0
378,2074.39,0.0,158720.81,0,1,0
42,67479.1,0.0,67479.1,0,1,0
16,275740.03,0.0,6875395.26,0,1,0
332,142004.29,0.0,350936.4,0,1,0
260,135295.64,0.0,358665.64,0,1,0
297,188461.92,0.0,135583.39,0,1,0
42,305910.32,0.0,2086116.02,0,1,0
394,64570.29,0.0,242945.84,0,1,0
306,5900.22,0.0,1140787.23,0,1,0
232,2271.4,0.0,207098.43,0,1,0
227,167474.81,0.0,1405048.39,0,1,0
375,363313.89,0.0,488272.07,0,1,0
205,135035.24,0.0,2111287.61,0,1,0
177,206736.81,0.0,9998230.6,0,1,0
354,210797.73,0.0,405122.61,0,0,1
166,49143.23,194409.62,793512.62,0,1,0
95,14667.93,0.0,3235660.05,0,0,1
158,29641.95,0.0,2763604.81,0,1,0
203,23785.97,0.0,23785.97,0,1,0
183,370453.51,0.0,412058.42,0,1,0
156,166851.3,82342.7,181226.74,0,1,0
664,290818.3,0.0,290818.3,0,1,0
179,306225.01,0.0,306225.01,0,1,0
327,43207.72,23979.28,43207.72,0,1,0
136,222342.51,0.0,751438.58,0,1,0
550,39370.07,0.0,2077115.69,0,1,0
252,48323.07,0.0,165764.45,0,1,0
44,474208.04,0.0,474208.04,0,0,1
11,181279.3,0.0,0.0,0,1,0
155,516367.82,0.0,516367.82,0,1,0
278,19293.45,12797.55,336449.04,0,1,0
261,429090.38,0.0,1801941.75,0,1,0
235,503371.91,0.0,782563.74,0,1,0
335,1854664.29,0.0,4186825.51,0,0,1
181,400474.32,0.0,1301208.85,0,1,0
621,41110.35,0.0,281527.45,0,1,0
346,93804.72,0.0,1450023.41,0,0,1
329,1494795.97,0.0,1494795.97,0,0,1
212,111198.8,0.0,1037606.54,0,1,0
186,293132.63,0.0,836129.17,0,1,0
202,283873.23,0.0,1309258.09,0,1,0
354,4491361.62,0.0,9087879.07,0,0,1
209,706257.18,0.0,3847384.94,0,0,1
42,60540.59,0.0,1249945.65,0,1,0
35,436066.34,0.0,526829.73,0,1,0
688,99094.16,0.0,1815347.53,0,0,1
307,165682.69,0.0,7539466.88,0,1,0
183,2753.54,0.0,145703.01,0,1,0
356,40044.22,0.0,1004025.5,0,1,0
154,42740.21,0.0,93056.66,0,1,0
305,4006221.0,0.0,12120603.77,0,0,1
399,161175.47,0.0,3737505.11,0,1,0
380,5956.93,17513.07,315648.04,0,1,0
257,114594.99,0.0,620848.06,0,1,0
208,69876.62,0.0,3033339.51,0,1,0
44,477512.48,0.0,957372.31,0,0,1
43,183635.74,643099.45,2791688.01,0,1,0
180,126363.91,0.0,6180859.28,0,1,0
326,425306.43,0.0,441223.14,0,1,0
211,193526.49,0.0,608522.38,0,0,1
180,7362.54,0.0,43845.64,0,0,1
38,369758.81,0.0,7142533.07,0,0,1
14,185342.0,0.0,969181.15,0,0,1
349,83820.47,0.0,83820.47,0,1,0
234,214008.44,0.0,1385821.75,0,1,0
372,70281.56,0.0,210323.52,0,1,0
301,103393.9,0.0,103393.9,0,1,0
19,110312.21,0.0,398752.14,0,1,0
495,51160.32,0.0,821599.86,0,1,0
136,17078.04,0.0,1161936.77,0,1,0
44,57767.97,0.0,3434609.58,0,1,0
163,387310.68,0.0,2365859.78,0,1,0
275,256856.41,0.0,672787.35,0,1,0
208,346017.4,0.0,721631.27,0,1,0
208,67638.23,0.0,275446.6,0,0,1
250,350402.95,0.0,1716120.42,0,1,0
326,322777.96,0.0,454012.45,0,1,0
382,144598.25,0.0,383121.11,0,1,0
161,231528.37,0.0,231528.37,0,1,0
207,283486.9,0.0,10275224.03,0,1,0
146,52256.23,0.0,1035342.07,0,0,1
165,353640.41,0.0,557869.23,0,1,0
36,283807.16,0.0,6475187.58,0,1,0
237,5829.72,4938.28,239092.41,0,1,0
16,107178.65,0.0,109271.65,0,1,0
15,29073.4,0.0,1627917.14,0,1,0
138,66969.72,0.0,1316820.96,0,1,0
374,8852.64,0.0,1943150.96,0,1,0
280,150643.16,0.0,503564.68,0,1,0
129,38266.84,168690.16,1687077.84,0,1,0
42,522795.84,0.0,1210417.57,0,0,1
353,39147.55,0.0,390432.95,0,1,0
310,138766.04,0.0,491243.26,0,1,0
326,118604.86,254686.3,2380288.13,0,1,0
206,120365.79,0.0,1817322.14,0,1,0
185,1736473.05,0.0,1736473.05,0,0,1
302,13785.23,24080.77,13785.23,0,1,0
253,300029.94,0.0,1001595.27,0,0,1
251,114369.49,0.0,999888.19,0,1,0
159,1022809.23,0.0,2382734.15,0,0,1
476,127642.9,0.0,212808.57,0,1,0
402,65439.87,0.0,1926322.28,0,1,0
307,174975.75,0.0,820464.53,0,1,0
331,111705.69,0.0,15322484.46,0,1,0
12,286869.68,0.0,2363816.86,0,1,0
378,359184.42,0.0,1051397.41,0,1,0
