step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
226,CASH_OUT,449665.84,C55127026,52580.0,0.0,C157582824,380144.88,829810.72,0,0
21,CASH_OUT,220076.65,C1131206732,40779.0,0.0,C616367272,22153.18,242229.83,0,0
282,CASH_OUT,114806.31,C1817002693,1051.0,0.0,C686582400,0.0,114806.31,0,0
257,CASH_OUT,131008.65,C1803050973,0.0,0.0,C449019622,443026.8,574035.45,0,0
153,CASH_OUT,221260.57,C1999374305,0.0,0.0,C466712054,234826.71,456087.28,0,0
372,TRANSFER,2046187.01,C739076908,0.0,0.0,C91834093,2710433.1,4756620.11,0,0
617,CASH_OUT,37416.82,C342264827,452262.0,414845.18,C332228686,0.0,37416.82,0,0
398,CASH_OUT,46113.57,C710199427,0.0,0.0,C308539464,143751.81,189865.38,0,0
43,CASH_OUT,16745.07,C2102305027,0.0,0.0,C159277723,442025.72,458770.79,0,0
17,TRANSFER,76782.27,C1037811804,0.0,0.0,C94413924,89523.75,166306.02,0,0
383,CASH_OUT,152750.9,C540249994,0.0,0.0,C105811756,263023.25,415774.15,0,0
180,CASH_OUT,221230.22,C578424672,106361.0,0.0,C648733457,168193.28,389423.49,0,0
351,CASH_OUT,6129.4,C438307263,32205.0,26075.6,C1764925715,1858577.56,1864706.96,0,0
181,CASH_OUT,78229.99,C1808655794,76033.28,0.0,C617499664,279682.91,357912.9,0,0
373,CASH_OUT,196625.44,C1247321521,0.0,0.0,C1984609590,226919.11,423544.55,0,0
350,CASH_OUT,27160.66,C644555575,0.0,0.0,C1783209820,45029.31,72189.97,0,0
259,CASH_OUT,24638.89,C484996552,3260.0,0.0,C1813877658,0.0,24638.89,0,0
324,CASH_OUT,173136.72,C203835529,12468.0,0.0,C972144599,6504.03,179640.75,0,0
522,TRANSFER,4419449.68,C841948675,0.0,0.0,C21172281,6342345.26,10761794.94,0,0
328,CASH_OUT,75008.51,C1439049078,169463.0,94454.49,C1159708385,3921081.79,3996090.29,0,0
347,CASH_OUT,21929.46,C979902473,49286.0,27356.54,C285796469,4624217.22,4646146.68,0,0
355,CASH_OUT,13341.99,C102270910,22340.89,8998.9,C242946584,112664.98,126006.98,0,0
19,CASH_OUT,285375.2,C695641827,72798.0,0.0,C1670221071,74057.39,127866.9,0,0
202,CASH_OUT,45693.53,C166836115,31360.0,0.0,C943901945,5859157.08,5904850.61,0,0
399,CASH_OUT,97766.07,C1989847375,18120.19,0.0,C1395809948,1633488.86,1731254.93,0,0
157,CASH_OUT,290402.38,C82040416,0.0,0.0,C1712299838,894246.22,1184648.6,0,0
350,CASH_OUT,123104.64,C45493065,21417.0,0.0,C203249722,57624.79,180729.43,0,0
347,TRANSFER,2245414.69,C1984746933,0.0,0.0,C819133291,10562550.86,12807965.55,0,0
225,CASH_OUT,354095.09,C212552517,0.0,0.0,C130265332,362110.12,716205.21,0,0
18,TRANSFER,798457.68,C533412788,0.0,0.0,C703344530,5306235.76,5920247.31,0,0
204,CASH_OUT,85174.79,C1731318424,16267.0,0.0,C711032442,71846.51,157021.3,0,0
42,CASH_OUT,259764.79,C127126685,0.0,0.0,C1082580319,584523.97,844288.77,0,0
44,CASH_OUT,56355.67,C276006458,0.0,0.0,C131767802,61920.1,118275.77,0,0
203,CASH_OUT,29870.46,C1341722741,0.0,0.0,C1007852642,74243.2,104113.67,0,0
348,CASH_OUT,137432.57,C1789561604,0.0,0.0,C686930041,351797.2,489229.77,0,0
206,CASH_OUT,449141.01,C1872372327,26033.0,0.0,C1562077785,121844.54,570985.55,0,0
181,CASH_OUT,324505.42,C1475918760,1433.0,0.0,C1626852381,0.0,324505.42,0,0
162,CASH_OUT,202417.9,C2133147922,55832.0,0.0,C266745121,2436323.42,2638741.32,0,0
37,CASH_OUT,134017.25,C1286978936,0.0,0.0,C36074080,505063.0,1209483.4,0,0
201,CASH_OUT,88718.1,C2009935613,0.0,0.0,C1947254093,310204.37,398922.47,0,0
298,CASH_OUT,520166.92,C1459616941,0.0,0.0,C1319924030,1200163.62,1720330.54,0,0
226,CASH_OUT,204859.77,C629181112,31663.0,0.0,C1761083038,0.0,204859.77,0,0
277,CASH_OUT,236070.7,C668059025,103468.19,0.0,C208108692,2963834.13,3199904.83,0,0
274,CASH_OUT,116080.22,C1852457277,10764.0,0.0,C743666278,0.0,116080.22,0,0
154,CASH_OUT,35145.07,C510017010,0.0,0.0,C1193790709,316360.92,351506.0,0,0
186,CASH_OUT,29446.01,C561089510,73767.0,44320.99,C1401869651,802013.12,831459.13,0,0
211,CASH_OUT,103767.14,C469743609,0.0,0.0,C1260703229,3613685.77,3717452.91,0,0
42,CASH_OUT,205527.42,C2129394847,9021.0,0.0,C1482979717,6513001.13,6718528.55,0,0
355,CASH_OUT,256502.56,C84177805,272127.0,15624.44,C878246743,0.0,256502.56,0,0
372,TRANSFER,1664111.34,C470441793,0.0,0.0,C2011027318,2018539.55,3682650.89,0,0
565,CASH_OUT,116355.74,C2034888336,105105.0,0.0,C1912213540,1385264.61,1501620.35,0,0
350,TRANSFER,350512.76,C1249409617,30827.0,0.0,C219981142,0.0,350512.76,0,0
395,TRANSFER,521395.25,C975471729,351152.16,0.0,C85843123,1211010.61,1467652.75,0,0
408,CASH_OUT,68758.89,C69099630,18284.36,0.0,C260194072,550449.4,619208.29,0,0
131,CASH_OUT,588865.01,C2079763328,0.0,0.0,C1967077603,2185600.57,2774465.58,0,0
130,CASH_OUT,31506.48,C1813349820,128.0,0.0,C777279324,36634.73,68141.21,0,0
369,TRANSFER,501444.08,C1566045787,0.0,0.0,C1888055668,2318908.63,2820352.71,0,0
17,CASH_OUT,22910.45,C47673100,0.0,0.0,C502647399,1946410.97,1969321.41,0,0
257,TRANSFER,894668.09,C1918054458,16708.0,0.0,C1488238459,53751.31,948419.4,0,0
274,CASH_OUT,56001.69,C674268626,381.0,0.0,C1203356872,1157332.65,1213334.34,0,0
400,CASH_OUT,149524.76,C1255662814,0.0,0.0,C1208014179,204098.0,353622.76,0,0
252,CASH_OUT,127880.17,C1209621442,420820.0,292939.83,C1992661007,0.0,127880.17,0,0
370,CASH_OUT,364971.93,C12338150,69755.0,0.0,C1738261913,409838.44,774810.37,0,0
332,CASH_OUT,92761.82,C362476609,213498.0,120736.18,C23709006,4239254.78,4332016.6,0,0
182,CASH_OUT,289947.55,C1902768501,0.0,0.0,C916112049,742847.38,1032794.93,0,0
210,CASH_OUT,256288.14,C1825154939,25897.0,0.0,C1924502403,4673501.51,4929789.64,0,0
39,TRANSFER,332160.91,C1783418404,3059.0,0.0,C1361717036,0.0,628484.15,0,0
298,TRANSFER,481136.65,C581168103,0.0,0.0,C536916201,736960.79,1218097.43,0,0
490,TRANSFER,20827.9,C2081721760,0.0,0.0,C1844707863,79394.2,100222.1,0,0
45,CASH_OUT,106552.39,C1885540828,11184.0,0.0,C112287934,0.0,106552.39,0,0
303,TRANSFER,985247.02,C1330483750,0.0,0.0,C1387126386,1070243.8,2055490.82,0,0
351,CASH_OUT,22580.48,C1311278825,55624.0,33043.52,C979832494,757818.78,780399.26,0,0
380,TRANSFER,647997.55,C640930931,297114.0,0.0,C1858143512,0.0,647997.55,0,0
9,CASH_OUT,216209.37,C1189579743,11478.0,0.0,C1651945012,6376726.23,6814866.58,0,0
322,CASH_OUT,344461.35,C2134550163,0.0,0.0,C275825422,684014.38,1028475.73,0,0
131,CASH_OUT,108772.72,C1948810413,121495.73,12723.01,C1247270977,2764002.75,2872775.47,0,0
40,CASH_OUT,44324.52,C2113889002,0.0,0.0,C1490143030,48206.22,92530.74,0,0
349,CASH_OUT,238182.16,C1970974608,1284.0,0.0,C415535967,53568.08,291750.24,0,0
403,TRANSFER,203345.48,C734844300,17993.0,0.0,C1610100749,3365788.85,3569134.32,0,0
18,CASH_OUT,6462.21,C903403583,0.0,0.0,C1437132715,4435330.33,4584088.22,0,0
277,CASH_OUT,167175.5,C2029571483,103536.0,0.0,C645064006,446076.73,613252.23,0,0
274,CASH_OUT,312032.9,C1003683143,0.0,0.0,C2097459901,2219508.73,2531541.63,0,0
394,CASH_OUT,502331.97,C1784595102,0.0,0.0,C1090153064,56114368.9,56616700.86,0,0
309,CASH_OUT,240190.86,C1571151727,92748.98,0.0,C1189186088,5585636.98,5825827.84,0,0
404,CASH_OUT,2241.69,C745057551,20594.0,18352.31,C1772080595,183000.51,185242.21,0,0
204,CASH_OUT,577882.62,C48552945,0.0,0.0,C1733667171,1552173.05,2282465.04,0,0
19,CASH_OUT,102929.71,C1424956583,34977.0,0.0,C1122492719,304622.45,722402.05,0,0
13,CASH_OUT,142506.21,C1357651777,57796.92,0.0,C1065774928,2778426.68,2920932.89,0,0
162,CASH_OUT,26295.97,C1952092937,0.0,0.0,C937411699,466593.9,492889.88,0,0
304,CASH_OUT,157847.93,C1586576296,0.0,0.0,C2094345916,211837.79,369685.72,0,0
398,CASH_OUT,135589.58,C1352507015,0.0,0.0,C603189275,837596.4,973185.98,0,0
157,CASH_OUT,77433.09,C532046302,0.0,0.0,C1175822172,82257.87,159690.97,0,0
162,TRANSFER,319486.33,C342048048,0.0,0.0,C1278428386,2158240.54,2477726.87,0,0
308,CASH_OUT,45056.85,C314426987,396.0,0.0,C1536481569,0.0,45056.85,0,0
282,CASH_OUT,600907.36,C1972141161,0.0,0.0,C1053475882,1240394.59,1841301.95,0,0
325,CASH_OUT,328414.09,C311258893,4493.0,0.0,C1167842462,114028.27,442442.35,0,0
164,CASH_OUT,35442.96,C1031532225,0.0,0.0,C1170436567,2386838.57,2422281.53,0,0
18,CASH_OUT,35223.06,C1355791903,0.0,0.0,C1271043388,644615.4,679838.46,0,0
160,CASH_OUT,325405.44,C191305556,0.0,0.0,C845932769,487369.31,812774.75,0,0
19,CASH_OUT,115823.79,C2041480438,0.0,0.0,C530195410,484062.63,599886.41,0,0
687,CASH_OUT,220499.09,C253351105,35096.0,0.0,C1935353692,533948.79,754447.88,0,0
299,CASH_OUT,82150.76,C590424211,8705.0,0.0,C1472421724,42325.83,124476.59,0,0
229,TRANSFER,731490.83,C1591172104,110283.0,0.0,C887691188,1324795.96,2056286.79,0,0
299,CASH_OUT,190001.86,C1691367515,0.0,0.0,C1817321970,3230186.26,3420188.13,0,0
204,CASH_OUT,88424.57,C1661272419,0.0,0.0,C1992596716,374040.38,462464.94,0,0
141,CASH_OUT,193471.9,C814647187,0.0,0.0,C1126164906,383455.59,576927.49,0,0
275,CASH_OUT,19590.68,C211670322,211225.57,191634.9,C644859724,566965.14,586555.82,0,0
226,CASH_OUT,38273.17,C139254523,0.0,0.0,C1059935454,80184.99,118458.16,0,0
330,CASH_OUT,171909.71,C290875535,2056.0,0.0,C850144279,0.0,171909.71,0,0
280,CASH_OUT,90208.07,C1417485142,170.0,0.0,C627027169,0.0,90208.07,0,0
279,CASH_OUT,212418.53,C1516328258,0.0,0.0,C1210872152,2059118.55,2271537.08,0,0
203,CASH_OUT,154570.54,C854590768,233.0,0.0,C645708460,0.0,154570.54,0,0
331,CASH_OUT,135866.15,C826178875,0.0,0.0,C1925511667,1913385.76,2049251.91,0,0
398,CASH_OUT,84047.54,C10194170,408702.3,324654.76,C1769166725,98555.73,182603.27,0,0
249,CASH_OUT,181875.17,C333981051,0.0,0.0,C117516592,203160.56,385035.73,0,0
274,TRANSFER,738165.04,C462596959,21362.0,0.0,C591794018,0.0,738165.04,0,0
571,TRANSFER,337665.33,C1322217907,0.0,0.0,C614254676,4704315.63,5041980.96,0,0
329,CASH_OUT,275845.33,C1272343458,0.0,0.0,C1404849042,997168.17,1273013.5,0,0
235,TRANSFER,620303.0,C1495405932,0.0,0.0,C1273194608,4059945.6,4680248.6,0,0
234,CASH_OUT,14723.78,C420653395,41006.0,26282.22,C1717024089,1188116.94,1202840.72,0,0
227,TRANSFER,351556.19,C730938796,0.0,0.0,C99872915,4038285.11,4389841.29,0,0
234,CASH_OUT,332086.87,C880913974,0.0,0.0,C1926239482,414305.21,746392.08,0,0
13,CASH_OUT,7428.97,C363022541,0.0,0.0,C1962135173,129948.58,137377.55,0,0
258,CASH_OUT,124716.88,C2077400284,0.0,0.0,C1927269522,2482090.34,2606807.22,0,0
202,CASH_OUT,96624.73,C2075601934,0.0,0.0,C1532350025,135263.87,231888.61,0,0
38,CASH_OUT,371553.48,C1175201049,0.0,0.0,C1223529864,776426.67,1147980.15,0,0
378,CASH_OUT,135206.28,C1413957634,0.0,0.0,C55775731,1000191.15,1135397.43,0,0
260,CASH_OUT,3011.41,C1165476209,21442.13,18430.72,C1518498541,633613.23,636624.64,0,0
40,CASH_OUT,65167.94,C833047559,0.0,0.0,C616244771,4643428.42,4708596.36,0,0
10,CASH_OUT,348503.78,C1295220768,0.0,0.0,C1861258153,351858.67,686538.92,0,0
329,CASH_OUT,26596.13,C2146538907,0.0,0.0,C2111071987,1067955.54,1094551.67,0,0
525,CASH_OUT,5386.08,C2132197731,0.0,0.0,C1740367254,232133.47,237519.54,0,0
373,CASH_OUT,383971.35,C519028494,29972.0,0.0,C731820743,0.0,383971.35,0,0
41,CASH_OUT,188936.39,C1400736071,0.0,0.0,C1595923782,477186.19,666122.58,0,0
139,CASH_OUT,197384.75,C892482225,0.0,0.0,C1594624372,2082324.36,2279709.11,0,0
10,TRANSFER,666640.88,C246445140,0.0,0.0,C1871196571,1050754.71,1655479.19,0,0
252,TRANSFER,1161428.21,C776810384,32555.0,0.0,C1819052020,14223440.81,15384869.02,0,0
132,CASH_OUT,171393.69,C265175826,158720.0,0.0,C514444363,0.0,171393.69,0,0
394,CASH_OUT,68842.94,C1373577938,0.0,0.0,C2120313213,318644.63,387487.57,0,0
496,CASH_OUT,148574.9,C1371629508,10883.0,0.0,C1589925959,108318.05,256892.96,0,0
235,TRANSFER,649131.28,C1963592420,0.0,0.0,C1906198088,1295547.18,1944678.46,0,0
345,CASH_OUT,46258.94,C444605502,0.0,0.0,C1813854086,671933.45,718192.39,0,0
10,CASH_OUT,326411.36,C329576127,637209.69,310798.33,C341552838,2455606.37,2782017.73,0,0
236,TRANSFER,550159.97,C1646588544,318991.59,0.0,C134338556,1153863.91,1704023.88,0,0
377,CASH_OUT,326414.22,C1451830045,73410.0,0.0,C96329909,190411.77,516825.99,0,0
163,CASH_OUT,68251.47,C235229275,80027.0,11775.53,C306409943,0.0,68251.47,0,0
40,CASH_OUT,503128.65,C1855543514,84676.0,0.0,C368045526,109275.7,612404.36,0,0
135,CASH_OUT,365990.61,C752488778,11372.0,0.0,C985770441,2534006.56,2899997.17,0,0
260,CASH_OUT,118419.91,C2018843192,0.0,0.0,C1591775202,226832.75,345252.65,0,0
137,CASH_OUT,102284.86,C2082241935,2219.0,0.0,C1075505669,1109029.52,1211314.38,0,0
304,TRANSFER,10000000.0,C296217925,195.0,0.0,C1442289110,0.0,33951641.22,0,0
40,TRANSFER,148730.65,C212494936,0.0,0.0,C2071372395,1354316.22,1503046.87,0,0
20,CASH_OUT,3919.28,C2040525625,0.0,0.0,C1974081285,1338933.37,1342852.65,0,0
207,CASH_OUT,101691.43,C1699707324,0.0,0.0,C1319949208,2912161.8,3013853.22,0,0
186,CASH_OUT,153162.71,C1754765031,54027.0,0.0,C1381006013,1458105.88,1611268.59,0,0
256,CASH_OUT,405848.93,C1119075007,16438.0,0.0,C259736241,0.0,405848.93,0,0
256,CASH_OUT,116950.87,C1129857677,307.0,0.0,C2042912322,8351118.81,8468069.68,0,0
347,CASH_OUT,115961.81,C1889020060,0.0,0.0,C1489832633,379872.39,495834.2,0,0
164,CASH_OUT,82092.26,C80044038,0.0,0.0,C1607757761,901460.77,983553.03,0,0
378,CASH_OUT,137695.79,C1095023043,0.0,0.0,C972834571,564278.53,701974.32,0,0
164,CASH_OUT,258231.26,C1697424491,173293.0,0.0,C314105596,188411.69,446642.95,0,0
380,CASH_OUT,350852.72,C1604588142,0.0,0.0,C1114360065,477669.0,828521.72,0,0
179,CASH_OUT,49980.91,C1948385939,0.0,0.0,C2042983588,869817.19,919798.11,0,0
323,CASH_OUT,225722.87,C1859603281,0.0,0.0,C213861762,2114842.0,2340564.87,0,0
351,TRANSFER,183499.42,C1377429441,0.0,0.0,C1340837936,517267.3,700766.71,0,0
204,CASH_OUT,260595.31,C1203150902,14268.0,0.0,C1782706843,51409.88,312005.19,0,0
394,CASH_OUT,106139.35,C1323162184,1162.0,0.0,C556748930,4044118.18,4150257.52,0,0
9,CASH_OUT,223981.37,C379484715,248.0,0.0,C152991414,0.0,250020.85,0,0
36,CASH_OUT,432107.23,C312765908,40216.0,0.0,C788424037,0.0,474209.86,0,0
216,TRANSFER,108350.97,C1536469214,49919.0,0.0,C1356217249,0.0,108350.97,0,0
277,CASH_OUT,30298.18,C1171595237,0.0,0.0,C2076906735,6496042.51,6526340.7,0,0
136,CASH_OUT,326230.52,C1705928266,0.0,0.0,C1549341777,20113401.67,20439632.18,0,0
204,CASH_OUT,374120.34,C1992188759,15069.0,0.0,C858608270,617352.34,991472.68,0,0
225,TRANSFER,2552536.28,C523776742,11537.0,0.0,C339734086,47770.15,2600306.44,0,0
36,CASH_OUT,111042.32,C411952260,490.0,0.0,C810334748,206135.36,317177.69,0,0
19,CASH_OUT,149941.52,C807798903,69835.0,0.0,C984992887,0.0,149941.52,0,0
298,CASH_OUT,61540.35,C2076749218,13114.0,0.0,C1790183137,0.0,61540.35,0,0
10,CASH_OUT,76976.82,C705911369,0.0,0.0,C1380815923,122435.88,135800.58,0,0
17,TRANSFER,836839.27,C1472778619,0.0,0.0,C2114742437,4868881.67,5705720.94,0,0
185,CASH_OUT,205942.93,C1940885507,15362.0,0.0,C480060032,655527.22,861470.16,0,0
191,CASH_OUT,65591.79,C236368182,0.0,0.0,C1866680683,1165189.23,1230781.02,0,0
332,CASH_OUT,109209.12,C485296112,0.0,0.0,C1914479357,884890.91,994100.03,0,0
331,TRANSFER,81111.26,C1498828391,7993.16,0.0,C763671208,628064.19,709175.45,0,0
139,TRANSFER,256889.12,C1302436698,0.0,0.0,C233955428,299178.88,556068.0,0,0
135,CASH_OUT,371597.36,C486613697,61729.0,0.0,C39786358,1785405.51,2157002.87,0,0
162,CASH_OUT,48138.78,C692672599,0.0,0.0,C116384774,8327347.79,8375486.57,0,0
353,CASH_OUT,126005.48,C130747960,0.0,0.0,C1585580666,155187.88,281193.35,0,0
688,CASH_OUT,225082.24,C111786386,12760.0,0.0,C9520570,328576.0,553658.24,0,0
328,TRANSFER,1419543.63,C1358115798,96993.5,0.0,C975452336,6646303.39,8065847.02,0,0
401,CASH_OUT,188852.21,C1105173131,376.0,0.0,C1597267476,0.0,188852.21,0,0
19,TRANSFER,185811.6,C2117804113,0.0,0.0,C1191470811,3713382.1,4597340.0,0,0
94,TRANSFER,1955964.02,C843264800,0.0,0.0,C1279610437,17054184.75,19010148.77,0,0
36,CASH_OUT,59717.34,C1906820159,80769.0,21051.66,C1174190314,439840.95,499558.29,0,0
309,CASH_OUT,104277.8,C1559415791,28032.0,0.0,C455453201,156173.34,260451.13,0,0
398,CASH_OUT,310147.32,C1919992660,0.0,0.0,C2106292617,1618216.97,1928364.29,0,0
13,CASH_OUT,40936.45,C92554937,0.0,0.0,C984677901,1977095.6,2018032.05,0,0
153,CASH_OUT,53464.83,C1672192024,34219.0,0.0,C1170615869,1000.0,0.0,0,0
252,CASH_OUT,133879.7,C1766565853,0.0,0.0,C1726015363,858409.58,992289.28,0,0
573,TRANSFER,2578146.91,C297655045,0.0,0.0,C2002027219,2924551.18,5502698.09,0,0
282,CASH_OUT,246014.9,C1626682479,40215.0,0.0,C1418629304,200122.31,446137.21,0,0
286,CASH_OUT,184885.73,C1915811379,0.0,0.0,C443445598,3714164.82,4090646.65,0,0
42,CASH_OUT,288580.79,C2075411775,0.0,0.0,C1209877012,543695.06,832275.84,0,0
259,CASH_OUT,122875.47,C624826320,10817.0,0.0,C2062126392,3691256.03,3814131.49,0,0
154,CASH_OUT,123359.61,C542369116,0.0,0.0,C1616099333,611415.27,734774.88,0,0
394,CASH_OUT,176966.82,C1046929948,0.0,0.0,C469319011,2254045.04,2431011.86,0,0
399,CASH_OUT,141534.87,C1151445392,4737.0,0.0,C1959862190,2553348.33,2694883.2,0,0
164,CASH_OUT,240610.89,C221856472,0.0,0.0,C1469248112,2022282.71,2456495.04,0,0
180,CASH_OUT,190427.14,C855549238,0.0,0.0,C62094904,502403.18,692830.32,0,0
130,CASH_OUT,166255.54,C52494794,224.0,0.0,C1680525470,710557.88,1523401.63,0,0
231,CASH_OUT,346375.93,C938835421,20742.0,0.0,C1199213951,0.0,346375.93,0,0
161,CASH_OUT,402440.07,C2053143278,0.0,0.0,C2097629604,1357849.67,1760289.75,0,0
142,CASH_OUT,227701.25,C678505019,0.0,0.0,C554679262,835093.48,1062794.73,0,0
370,TRANSFER,221009.35,C1595634926,0.0,0.0,C1755478259,233371.62,454380.96,0,0
329,CASH_OUT,165339.33,C201073470,15097.0,0.0,C1669728332,48336.42,213675.75,0,0
207,CASH_OUT,475526.3,C1541567204,0.0,0.0,C235021433,644346.18,1119872.48,0,0
357,CASH_OUT,110193.38,C1663397115,122483.0,12289.62,C1756737753,4943240.47,5053433.86,0,0
18,CASH_OUT,83959.79,C1000967462,7080.0,0.0,C1373643272,0.0,83959.79,0,0
10,TRANSFER,1319716.79,C1644147727,31355.0,0.0,C813433999,558582.73,1878299.51,0,0
380,CASH_OUT,48244.84,C429539130,209495.25,161250.41,C1761177928,261436.62,309681.46,0,0
305,CASH_OUT,100376.18,C1075041649,22226.0,0.0,C637918422,126806.9,227183.08,0,0
187,CASH_OUT,189275.65,C597091591,544.0,0.0,C1225322901,126562.66,315838.31,0,0
187,TRANSFER,126018.94,C768418446,0.0,0.0,C989313013,832988.08,959007.02,0,0
252,CASH_OUT,343473.08,C1017209733,285.0,0.0,C149844569,7931.76,351404.84,0,0
139,CASH_OUT,247401.1,C887029274,20434.0,0.0,C1919325529,62530.98,309932.08,0,0
263,CASH_OUT,255986.67,C1828156970,0.0,0.0,C234380228,909876.03,1165862.69,0,0
163,CASH_OUT,39517.17,C284182231,485956.0,446438.83,C1711170586,283819.94,381062.64,0,0
687,CASH_OUT,139798.75,C1598834107,0.0,0.0,C603038832,258123.56,397922.32,0,0
12,CASH_OUT,342711.7,C824986205,0.0,0.0,C1382034610,1060184.01,833933.25,0,0
354,CASH_OUT,129680.67,C2081473628,202.0,0.0,C218530237,652646.35,782327.02,0,0
380,CASH_OUT,166204.29,C645341964,33899.0,0.0,C1053424384,0.0,166204.29,0,0
304,TRANSFER,10000000.0,C1424409606,0.0,0.0,C1161711264,10000000.0,20782802.46,0,0
160,CASH_OUT,361392.18,C1593257923,10440.0,0.0,C833472510,1295554.48,1656946.67,0,0
164,CASH_OUT,18286.64,C1143011949,588300.0,570013.36,C1209641062,3097562.24,3115848.88,0,0
155,TRANSFER,817753.91,C64046700,256292.0,0.0,C1916724575,880388.16,1698142.08,0,0
41,CASH_OUT,211306.11,C1247601174,69461.0,0.0,C2049626850,197908.22,147335.05,0,0
310,CASH_OUT,559590.29,C1351807615,0.0,0.0,C2118043304,1225243.83,1784834.12,0,0
356,CASH_OUT,147302.5,C1188613144,0.0,0.0,C1125770411,2370426.74,2517729.24,0,0
22,CASH_OUT,218391.89,C956462341,0.0,0.0,C1545213418,491369.06,709760.95,0,0
373,CASH_OUT,51707.71,C80602019,135758.77,84051.07,C1971837456,383160.33,434868.03,0,0
377,CASH_OUT,374446.15,C1803207591,51337.0,0.0,C1688566672,7282426.14,7656872.29,0,0
17,CASH_OUT,8788.68,C402965054,594.0,0.0,C1482640656,0.0,8788.68,0,0
408,CASH_OUT,331807.33,C1387895653,0.0,0.0,C1865219109,779644.85,1111452.18,0,0
307,CASH_OUT,62177.87,C805801982,0.0,0.0,C587725065,3432008.92,3494186.79,0,0
206,TRANSFER,260410.78,C622916809,59424.0,0.0,C1667259942,318785.53,579196.3,0,0
372,TRANSFER,1500839.19,C1622875431,0.0,0.0,C1296177695,8959082.15,10459921.34,0,0
133,CASH_OUT,619377.36,C760817995,50053.0,0.0,C824648023,689551.05,1308928.4,0,0
303,TRANSFER,41687.02,C1292767363,12142.0,0.0,C1422954171,336205.6,377892.63,0,0
283,TRANSFER,283756.45,C1337744523,52055.0,0.0,C62049504,83942.22,367698.67,0,0
332,CASH_OUT,60893.45,C1199730451,0.0,0.0,C250868086,350094.09,410987.54,0,0
43,TRANSFER,234705.73,C989074053,0.0,0.0,C1765218517,2708501.56,3125150.36,0,0
158,CASH_OUT,252560.61,C2017622953,0.0,0.0,C1100623151,5875857.82,6128418.43,0,0
36,CASH_OUT,791492.55,C1075801892,12575.0,0.0,C351501147,3209589.24,4001081.8,0,0
130,CASH_OUT,107183.59,C213806994,0.0,0.0,C976189423,1595022.85,1680335.02,0,0
